chi_ordinate,chi_id,name,label,center_lat,center_lon
χ:N0E0,N0E0,Martin Luther King–Kinzie chi,MarKin,41.889216,-87.617947
χ:N0E1,N0E1,Woodlawn–Kinzie chi,WooKin,41.889216,-87.598481
χ:N0W0,N0W0,Clark–Kinzie chi,ClaKin,41.889216,-87.637413
χ:N0W1,N0W1,Racine–Kinzie chi,RacKin,41.889216,-87.656879
χ:N0W2,N0W2,Damen–Kinzie chi,DamKin,41.889216,-87.676345
χ:N0W3,N0W3,California–Kinzie chi,CalKin,41.889216,-87.695811
χ:N0W4,N0W4,Central Park–Kinzie chi,CenKin,41.889216,-87.715276
χ:N0W5,N0W5,Kostner–Kinzie chi,KosKin,41.889216,-87.734742
χ:N0W6,N0W6,Laramie–Kinzie chi,LarKin,41.889216,-87.754208
χ:N0W7,N0W7,Austin–Kinzie chi,AusKin,41.889216,-87.773674
χ:N1E0,N1E0,Martin Luther King–Division chi,MarDiv,41.903709,-87.617947
χ:N1W0,N1W0,Clark–Division chi,ClaDiv,41.903709,-87.637413
χ:N1W1,N1W1,Racine–Division chi,RacDiv,41.903709,-87.656879
χ:N1W2,N1W2,Damen–Division chi,DamDiv,41.903709,-87.676345
χ:N1W3,N1W3,California–Division chi,CalDiv,41.903709,-87.695811
χ:N1W4,N1W4,Central Park–Division chi,CenDiv,41.903709,-87.715276
χ:N1W5,N1W5,Kostner–Division chi,KosDiv,41.903709,-87.734742
χ:N1W6,N1W6,Laramie–Division chi,LarDiv,41.903709,-87.754208
χ:N1W7,N1W7,Austin–Division chi,AusDiv,41.903709,-87.773674
χ:N1W8,N1W8,Oak Park–Division chi,OakDiv,41.903709,-87.79314
χ:N1W9,N1W9,Oriole–Division chi,OriDiv,41.903709,-87.812606
χ:N2E0,N2E0,Martin Luther King–Armitage chi,MarArm,41.918202,-87.617947
χ:N2W0,N2W0,Clark–Armitage chi,ClaArm,41.918202,-87.637413
χ:N2W1,N2W1,Racine–Armitage chi,RacArm,41.918202,-87.656879
χ:N2W2,N2W2,Damen–Armitage chi,DamArm,41.918202,-87.676345
χ:N2W3,N2W3,California–Armitage chi,CalArm,41.918202,-87.695811
χ:N2W4,N2W4,Central Park–Armitage chi,CenArm,41.918202,-87.715276
χ:N2W5,N2W5,Kostner–Armitage chi,KosArm,41.918202,-87.734742
χ:N2W6,N2W6,Laramie–Armitage chi,LarArm,41.918202,-87.754208
χ:N2W7,N2W7,Austin–Armitage chi,AusArm,41.918202,-87.773674
χ:N2W8,N2W8,Oak Park–Armitage chi,OakArm,41.918202,-87.79314
χ:N2W9,N2W9,Oriole–Armitage chi,OriArm,41.918202,-87.812606
χ:N3W0,N3W0,Clark–Diversey chi,ClaDiv,41.932695,-87.637413
χ:N3W1,N3W1,Racine–Diversey chi,RacDiv,41.932695,-87.656879
χ:N3W10,N3W10,Cumberland–Diversey chi,CumDiv,41.932695,-87.832072
χ:N3W11,N3W11,χ:N3W11 chi,χ:N3W11,41.932695,-87.851537
χ:N3W2,N3W2,Damen–Diversey chi,DamDiv,41.932695,-87.676345
χ:N3W3,N3W3,California–Diversey chi,CalDiv,41.932695,-87.695811
χ:N3W4,N3W4,Central Park–Diversey chi,CenDiv,41.932695,-87.715276
χ:N3W5,N3W5,Kostner–Diversey chi,KosDiv,41.932695,-87.734742
χ:N3W6,N3W6,Laramie–Diversey chi,LarDiv,41.932695,-87.754208
χ:N3W7,N3W7,Austin–Diversey chi,AusDiv,41.932695,-87.773674
χ:N3W8,N3W8,Oak Park–Diversey chi,OakDiv,41.932695,-87.79314
χ:N3W9,N3W9,Oriole–Diversey chi,OriDiv,41.932695,-87.812606
χ:N4W0,N4W0,Clark–Addison chi,ClaAdd,41.947187,-87.637413
χ:N4W1,N4W1,Racine–Addison chi,RacAdd,41.947187,-87.656879
χ:N4W10,N4W10,Cumberland–Addison chi,CumAdd,41.947187,-87.832072
χ:N4W11,N4W11,χ:N4W11 chi,χ:N4W11,41.947187,-87.851537
χ:N4W13,N4W13,χ:N4W13 chi,χ:N4W13,41.947187,-87.890469
χ:N4W14,N4W14,χ:N4W14 chi,χ:N4W14,41.947187,-87.909935
χ:N4W15,N4W15,χ:N4W15 chi,χ:N4W15,41.947187,-87.929401
χ:N4W2,N4W2,Damen–Addison chi,DamAdd,41.947187,-87.676345
χ:N4W3,N4W3,California–Addison chi,CalAdd,41.947187,-87.695811
χ:N4W4,N4W4,Central Park–Addison chi,CenAdd,41.947187,-87.715276
χ:N4W5,N4W5,Kostner–Addison chi,KosAdd,41.947187,-87.734742
χ:N4W6,N4W6,Laramie–Addison chi,LarAdd,41.947187,-87.754208
χ:N4W7,N4W7,Austin–Addison chi,AusAdd,41.947187,-87.773674
χ:N4W8,N4W8,Oak Park–Addison chi,OakAdd,41.947187,-87.79314
χ:N4W9,N4W9,Oriole–Addison chi,OriAdd,41.947187,-87.812606
χ:N5W0,N5W0,Clark–Montrose chi,ClaMon,41.96168,-87.637413
χ:N5W1,N5W1,Racine–Montrose chi,RacMon,41.96168,-87.656879
χ:N5W10,N5W10,Cumberland–Montrose chi,CumMon,41.96168,-87.832072
χ:N5W11,N5W11,χ:N5W11 chi,χ:N5W11,41.96168,-87.851537
χ:N5W13,N5W13,χ:N5W13 chi,χ:N5W13,41.96168,-87.890469
χ:N5W14,N5W14,χ:N5W14 chi,χ:N5W14,41.96168,-87.909935
χ:N5W15,N5W15,χ:N5W15 chi,χ:N5W15,41.96168,-87.929401
χ:N5W16,N5W16,χ:N5W16 chi,χ:N5W16,41.96168,-87.948867
χ:N5W2,N5W2,Damen–Montrose chi,DamMon,41.96168,-87.676345
χ:N5W3,N5W3,California–Montrose chi,CalMon,41.96168,-87.695811
χ:N5W4,N5W4,Central Park–Montrose chi,CenMon,41.96168,-87.715276
χ:N5W5,N5W5,Kostner–Montrose chi,KosMon,41.96168,-87.734742
χ:N5W6,N5W6,Laramie–Montrose chi,LarMon,41.96168,-87.754208
χ:N5W7,N5W7,Austin–Montrose chi,AusMon,41.96168,-87.773674
χ:N5W8,N5W8,Oak Park–Montrose chi,OakMon,41.96168,-87.79314
χ:N5W9,N5W9,Oriole–Montrose chi,OriMon,41.96168,-87.812606
χ:N6W0,N6W0,Clark–Foster chi,ClaFos,41.976173,-87.637413
χ:N6W1,N6W1,Sheridan–Foster chi,SheFos,41.976173,-87.656879
χ:N6W10,N6W10,Cumberland–Foster chi,CumFos,41.976173,-87.832072
χ:N6W11,N6W11,χ:N6W11 chi,χ:N6W11,41.976173,-87.851537
χ:N6W12,N6W12,χ:N6W12 chi,χ:N6W12,41.976173,-87.871003
χ:N6W13,N6W13,χ:N6W13 chi,χ:N6W13,41.976173,-87.890469
χ:N6W14,N6W14,χ:N6W14 chi,χ:N6W14,41.976173,-87.909935
χ:N6W15,N6W15,χ:N6W15 chi,χ:N6W15,41.976173,-87.929401
χ:N6W16,N6W16,χ:N6W16 chi,χ:N6W16,41.976173,-87.948867
χ:N6W2,N6W2,Damen–Foster chi,DamFos,41.976173,-87.676345
χ:N6W3,N6W3,California–Foster chi,CalFos,41.976173,-87.695811
χ:N6W4,N6W4,Central Park–Foster chi,CenFos,41.976173,-87.715276
χ:N6W5,N6W5,Kostner–Foster chi,KosFos,41.976173,-87.734742
χ:N6W6,N6W6,Laramie–Foster chi,LarFos,41.976173,-87.754208
χ:N6W7,N6W7,Austin–Foster chi,AusFos,41.976173,-87.773674
χ:N6W8,N6W8,Oak Park–Foster chi,OakFos,41.976173,-87.79314
χ:N6W9,N6W9,Oriole–Foster chi,OriFos,41.976173,-87.812606
χ:N7W1,N7W1,Sheridan–Peterson chi,ShePet,41.990666,-87.656879
χ:N7W10,N7W10,Cumberland–Peterson chi,CumPet,41.990666,-87.832072
χ:N7W11,N7W11,χ:N7W11 chi,χ:N7W11,41.990666,-87.851537
χ:N7W12,N7W12,χ:N7W12 chi,χ:N7W12,41.990666,-87.871003
