chi_ordinate,chi_id,name,label,center_lat,center_lon
χ:10N10W,10N10W,Oriole–Howard chi,OriHow,42.019651,-87.812606
χ:10N2W,10N2W,Sheridan–Howard chi,SheHow,42.019651,-87.656879
χ:10N3W,10N3W,Damen–Howard chi,DamHow,42.019651,-87.676345
χ:10N4W,10N4W,California–Howard chi,CalHow,42.019651,-87.695811
χ:10N5W,10N5W,Milwaukee–Howard chi,MilHow,42.019651,-87.715276
χ:10N8W,10N8W,Austin–Howard chi,AusHow,42.019651,-87.773674
χ:10S1E,10S1E,Martin Luther King–83rd chi,Mar83,41.744289,-87.617947
χ:10S1W,10S1W,χ:10S1W chi,χ:10S1W,41.744289,-87.637413
χ:10S2E,10S2E,Woodlawn–83rd chi,Woo83,41.744289,-87.598481
χ:10S2W,10S2W,Racine–83rd chi,Rac83,41.744289,-87.656879
χ:10S3E,10S3E,Jeffery–83rd chi,Jef83,41.744289,-87.579015
χ:10S3W,10S3W,Damen–83rd chi,Dam83,41.744289,-87.676345
χ:10S4E,10S4E,Burnham–83rd chi,Bur83,41.744289,-87.559549
χ:10S4W,10S4W,California–83rd chi,Cal83,41.744289,-87.695811
χ:10S5E,10S5E,Avenue L–83rd chi,Ave83,41.744289,-87.540084
χ:10S5W,10S5W,Central Park–83rd chi,Cen83,41.744289,-87.715276
χ:10S6E,10S6E,χ:10S6E chi,χ:10S6E,41.744289,-87.520618
χ:10S6W,10S6W,Kostner–83rd chi,Kos83,41.744289,-87.734742
χ:11S1E,11S1E,Martin Luther King–91st chi,Mar91,41.729796,-87.617947
χ:11S1W,11S1W,χ:11S1W chi,χ:11S1W,41.729796,-87.637413
χ:11S2E,11S2E,Woodlawn–91st chi,Woo91,41.729796,-87.598481
χ:11S2W,11S2W,Racine–91st chi,Rac91,41.729796,-87.656879
χ:11S3E,11S3E,Jeffery–91st chi,Jef91,41.729796,-87.579015
χ:11S3W,11S3W,Damen–91st chi,Dam91,41.729796,-87.676345
χ:11S4E,11S4E,Burnham–91st chi,Bur91,41.729796,-87.559549
χ:11S4W,11S4W,California–91st chi,Cal91,41.729796,-87.695811
χ:11S5E,11S5E,Avenue L–91st chi,Ave91,41.729796,-87.540084
χ:11S5W,11S5W,Central Park–91st chi,Cen91,41.729796,-87.715276
χ:11S6E,11S6E,χ:11S6E chi,χ:11S6E,41.729796,-87.520618
χ:11S6W,11S6W,Kostner–91st chi,Kos91,41.729796,-87.734742
χ:12S1E,12S1E,Martin Luther King–99th chi,Mar99,41.715303,-87.617947
χ:12S1W,12S1W,χ:12S1W chi,χ:12S1W,41.715303,-87.637413
χ:12S2E,12S2E,Woodlawn–99th chi,Woo99,41.715303,-87.598481
χ:12S2W,12S2W,Racine–99th chi,Rac99,41.715303,-87.656879
χ:12S3E,12S3E,Jeffery–99th chi,Jef99,41.715303,-87.579015
χ:12S3W,12S3W,Damen–99th chi,Dam99,41.715303,-87.676345
χ:12S4E,12S4E,Burnham–99th chi,Bur99,41.715303,-87.559549
χ:12S4W,12S4W,California–99th chi,Cal99,41.715303,-87.695811
χ:12S5E,12S5E,Avenue L–99th chi,Ave99,41.715303,-87.540084
χ:12S5W,12S5W,Central Park–99th chi,Cen99,41.715303,-87.715276
χ:12S6E,12S6E,χ:12S6E chi,χ:12S6E,41.715303,-87.520618
χ:13S1E,13S1E,Martin Luther King–107th chi,Mar107,41.700811,-87.617947
χ:13S1W,13S1W,χ:13S1W chi,χ:13S1W,41.700811,-87.637413
χ:13S2E,13S2E,Woodlawn–107th chi,Woo107,41.700811,-87.598481
χ:13S2W,13S2W,Racine–107th chi,Rac107,41.700811,-87.656879
χ:13S3E,13S3E,Jeffery–107th chi,Jef107,41.700811,-87.579015
χ:13S3W,13S3W,Damen–107th chi,Dam107,41.700811,-87.676345
χ:13S4E,13S4E,Burnham–107th chi,Bur107,41.700811,-87.559549
χ:13S4W,13S4W,California–107th chi,Cal107,41.700811,-87.695811
χ:13S5E,13S5E,Avenue L–107th chi,Ave107,41.700811,-87.540084
χ:13S5W,13S5W,Central Park–107th chi,Cen107,41.700811,-87.715276
χ:13S6E,13S6E,χ:13S6E chi,χ:13S6E,41.700811,-87.520618
χ:14S1E,14S1E,Martin Luther King–115th chi,Mar115,41.686318,-87.617947
χ:14S1W,14S1W,χ:14S1W chi,χ:14S1W,41.686318,-87.637413
χ:14S2E,14S2E,Woodlawn–115th chi,Woo115,41.686318,-87.598481
χ:14S2W,14S2W,Racine–115th chi,Rac115,41.686318,-87.656879
χ:14S3E,14S3E,Jeffery–115th chi,Jef115,41.686318,-87.579015
χ:14S3W,14S3W,Damen–115th chi,Dam115,41.686318,-87.676345
χ:14S4E,14S4E,Burnham–115th chi,Bur115,41.686318,-87.559549
χ:14S4W,14S4W,California–115th chi,Cal115,41.686318,-87.695811
χ:14S5E,14S5E,Avenue L–115th chi,Ave115,41.686318,-87.540084
χ:14S5W,14S5W,Central Park–115th chi,Cen115,41.686318,-87.715276
χ:14S6E,14S6E,χ:14S6E chi,χ:14S6E,41.686318,-87.520618
χ:14S6W,14S6W,Kostner–115th chi,Kos115,41.686318,-87.734742
χ:15S1E,15S1E,Martin Luther King–123rd chi,Mar123,41.671825,-87.617947
χ:15S1W,15S1W,χ:15S1W chi,χ:15S1W,41.671825,-87.637413
χ:15S2E,15S2E,Woodlawn–123rd chi,Woo123,41.671825,-87.598481
χ:15S2W,15S2W,Racine–123rd chi,Rac123,41.671825,-87.656879
χ:15S3E,15S3E,Jeffery–123rd chi,Jef123,41.671825,-87.579015
χ:15S3W,15S3W,Damen–123rd chi,Dam123,41.671825,-87.676345
χ:15S4E,15S4E,Burnham–123rd chi,Bur123,41.671825,-87.559549
χ:15S4W,15S4W,California–123rd chi,Cal123,41.671825,-87.695811
χ:15S5E,15S5E,Avenue L–123rd chi,Ave123,41.671825,-87.540084
χ:15S6E,15S6E,χ:15S6E chi,χ:15S6E,41.671825,-87.520618
χ:16S1E,16S1E,Martin Luther King–130th chi,Mar130,41.657332,-87.617947
χ:16S1W,16S1W,χ:16S1W chi,χ:16S1W,41.657332,-87.637413
χ:16S2E,16S2E,Woodlawn–130th chi,Woo130,41.657332,-87.598481
χ:16S2W,16S2W,Racine–130th chi,Rac130,41.657332,-87.656879
χ:16S3E,16S3E,Jeffery–130th chi,Jef130,41.657332,-87.579015
χ:16S4E,16S4E,Burnham–130th chi,Bur130,41.657332,-87.559549
χ:16S5E,16S5E,Avenue L–130th chi,Ave130,41.657332,-87.540084
χ:16S6E,16S6E,χ:16S6E chi,χ:16S6E,41.657332,-87.520618
χ:17S1E,17S1E,χ:17S1E chi,χ:17S1E,41.64284,-87.617947
χ:17S2E,17S2E,χ:17S2E chi,χ:17S2E,41.64284,-87.598481
χ:17S3E,17S3E,χ:17S3E chi,χ:17S3E,41.64284,-87.579015
χ:17S4E,17S4E,χ:17S4E chi,χ:17S4E,41.64284,-87.559549
χ:17S5E,17S5E,χ:17S5E chi,χ:17S5E,41.64284,-87.540084
χ:17S6E,17S6E,χ:17S6E chi,χ:17S6E,41.64284,-87.520618
χ:1N1E,1N1E,Martin Luther King–Kinzie chi,MarKin,41.889216,-87.617947
χ:1N1W,1N1W,Clark–Kinzie chi,ClaKin,41.889216,-87.637413
χ:1N2E,1N2E,Woodlawn–Kinzie chi,WooKin,41.889216,-87.598481
χ:1N2W,1N2W,Racine–Kinzie chi,RacKin,41.889216,-87.656879
χ:1N3W,1N3W,Damen–Kinzie chi,DamKin,41.889216,-87.676345
χ:1N4W,1N4W,California–Kinzie chi,CalKin,41.889216,-87.695811
χ:1N5W,1N5W,Central Park–Kinzie chi,CenKin,41.889216,-87.715276
χ:1N6W,1N6W,Kostner–Kinzie chi,KosKin,41.889216,-87.734742
χ:1N7W,1N7W,Laramie–Kinzie chi,LarKin,41.889216,-87.754208
χ:1N8W,1N8W,Austin–Kinzie chi,AusKin,41.889216,-87.773674
χ:1S1E,1S1E,χ:1S1E chi,χ:1S1E,41.874724,-87.617947
χ:1S1W,1S1W,χ:1S1W chi,χ:1S1W,41.874724,-87.637413
χ:1S2W,1S2W,χ:1S2W chi,χ:1S2W,41.874724,-87.656879
χ:1S3W,1S3W,χ:1S3W chi,χ:1S3W,41.874724,-87.676345
χ:1S4W,1S4W,χ:1S4W chi,χ:1S4W,41.874724,-87.695811
χ:1S5W,1S5W,χ:1S5W chi,χ:1S5W,41.874724,-87.715276
χ:1S6W,1S6W,χ:1S6W chi,χ:1S6W,41.874724,-87.734742
χ:1S7W,1S7W,χ:1S7W chi,χ:1S7W,41.874724,-87.754208
χ:1S8W,1S8W,χ:1S8W chi,χ:1S8W,41.874724,-87.773674
χ:2N10W,2N10W,Oriole–Division chi,OriDiv,41.903709,-87.812606
χ:2N1E,2N1E,Martin Luther King–Division chi,MarDiv,41.903709,-87.617947
χ:2N1W,2N1W,Clark–Division chi,ClaDiv,41.903709,-87.637413
χ:2N2W,2N2W,Racine–Division chi,RacDiv,41.903709,-87.656879
