chi_ordinate,chi_id,name,label,name_canon,label_canon,center_lat,center_lon,area_sqmi,edge
χ:10N10W,10N10W,Oriole–Howard chi,OriHow,Oriole–Howard chi,OriHow,42.015273,-87.813382,0.359,True
χ:10N3W,10N3W,Damen–Howard chi,DamHow,Damen–Howard chi,DamHow,42.017724,-87.676708,0.825,True
χ:10N4W,10N4W,California–Howard chi,CalHow,California–Howard chi,CalHow,42.015756,-87.699669,0.47,True
χ:10N8W,10N8W,Meade–Howard chi,MeaHow,Austin–Howard chi,AusHow,42.013989,-87.778095,0.037,True
χ:10S1E,10S1E,Vernon–83rd chi,Ver83,Martin Luther King–83rd chi,Mar83,41.74371,-87.614682,1.0,False
χ:10S1W,10S1W,Eggleston–83rd chi,Egg83,River–83rd chi,Riv83,41.743422,-87.633988,1.0,False
χ:10S2E,10S2E,Woodlawn–83rd chi,Woo83,Woodlawn–83rd chi,Woo83,41.744001,-87.59524,1.018,False
χ:10S2W,10S2W,Racine–83rd chi,Rac83,Racine–83rd chi,Rac83,41.743131,-87.65342,1.009,False
χ:10S3E,10S3E,Jeffery–83rd chi,Jef83,Jeffery–83rd chi,Jef83,41.744293,-87.575714,1.013,False
χ:10S3W,10S3W,Damen–83rd chi,Dam83,Damen–83rd chi,Dam83,41.742841,-87.672849,0.996,False
χ:10S4E,10S4E,Burnham–83rd chi,Bur83,Burnham–83rd chi,Bur83,41.744588,-87.55582,1.06,False
χ:10S4W,10S4W,California–83rd chi,Cal83,California–83rd chi,Cal83,41.742573,-87.692379,1.013,True
χ:10S5E,10S5E,Green Bay–83rd chi,Gre83,Avenue L–83rd chi,L83,41.745004,-87.538058,0.719,True
χ:10S5W,10S5W,Central Park–83rd chi,Cen83,Central Park–83rd chi,Cen83,41.742263,-87.712013,1.002,True
χ:10S6E,10S6E,χ:10S6E chi,χ:10S6E,χ:10S6E chi,χ:10S6E,41.741465,-87.525132,0.0,True
χ:10S6W,10S6W,Kostner–83rd chi,Kos83,Kostner–83rd chi,Kos83,41.740857,-87.731407,0.991,True
χ:11S1E,11S1E,Vernon–91st chi,Ver91,Martin Luther King–91st chi,Mar91,41.729112,-87.614323,0.997,False
χ:11S1W,11S1W,Eggleston–91st chi,Egg91,River–91st chi,Riv91,41.728837,-87.633602,0.999,False
χ:11S2E,11S2E,Woodlawn–91st chi,Woo91,Woodlawn–91st chi,Woo91,41.729392,-87.59484,1.019,False
χ:11S2W,11S2W,Racine–91st chi,Rac91,Racine–91st chi,Rac91,41.728559,-87.653022,1.012,False
χ:11S3E,11S3E,Jeffery–91st chi,Jef91,Jeffery–91st chi,Jef91,41.729672,-87.575216,1.011,False
χ:11S3W,11S3W,Damen–91st chi,Dam91,Damen–91st chi,Dam91,41.728014,-87.672535,1.01,True
χ:11S4E,11S4E,Muskegon–91st chi,Mus91,Burnham–91st chi,Bur91,41.729953,-87.555456,1.033,False
χ:11S5E,11S5E,Ewing–93rd chi,Ewi93,Avenue L–91st chi,L91,41.727329,-87.535468,0.955,True
χ:11S5W,11S5W,Central Park–83rd chi,Cen83,Central Park–91st chi,Cen91,41.734984,-87.714213,0.001,True
χ:11S6E,11S6E,Ewing–98th chi,Ewi98,χ:11S6E chi,χ:11S6E,41.727097,-87.525053,0.027,True
χ:11S6W,11S6W,Kostner–83rd chi,Kos83,Kostner–91st chi,Kos91,41.735649,-87.740975,0.004,True
χ:12S1E,12S1E,Vernon–99th chi,Ver99,Martin Luther King–99th chi,Mar99,41.71451,-87.613964,0.996,False
χ:12S1W,12S1W,Eggleston–99th chi,Egg99,River–99th chi,Riv99,41.714246,-87.633216,0.996,False
χ:12S2E,12S2E,Woodlawn–99th chi,Woo99,Woodlawn–99th chi,Woo99,41.714778,-87.59444,1.028,False
χ:12S2W,12S2W,Racine–99th chi,Rac99,Racine–99th chi,Rac99,41.71398,-87.652624,1.008,False
χ:12S3E,12S3E,Jeffery–99th chi,Jef99,Jeffery–99th chi,Jef99,41.715048,-87.574718,1.02,False
χ:12S3W,12S3W,Damen–99th chi,Dam99,Damen–99th chi,Dam99,41.713713,-87.672041,0.993,False
χ:12S4E,12S4E,Muskegon–99th chi,Mus99,Burnham–99th chi,Bur99,41.715316,-87.555091,1.022,False
χ:12S4W,12S4W,California–99th chi,Cal99,California–99th chi,Cal99,41.710691,-87.686622,0.301,True
χ:12S5E,12S5E,Avenue L–99th chi,L99,Avenue L–99th chi,L99,41.715577,-87.536935,0.973,True
χ:12S5W,12S5W,Central Park–99th chi,Cen99,Central Park–99th chi,Cen99,41.709273,-87.716109,0.252,True
χ:12S6E,12S6E,Indianapolis–102nd chi,Ind102,χ:12S6E chi,χ:12S6E,41.709372,-87.52493,0.019,True
χ:13S1E,13S1E,Vernon–107th chi,Ver107,Martin Luther King–107th chi,Mar107,41.699878,-87.613604,0.999,False
χ:13S1W,13S1W,Princeton–107th chi,Pri107,River–107th chi,Riv107,41.699634,-87.632829,1.0,False
χ:13S2E,13S2E,Woodlawn–107th chi,Woo107,Woodlawn–107th chi,Woo107,41.700126,-87.594039,1.038,False
χ:13S2W,13S2W,Racine–107th chi,Rac107,Racine–107th chi,Rac107,41.699387,-87.652226,1.015,False
χ:13S3E,13S3E,Jeffery–107th chi,Jef107,Jeffery–107th chi,Jef107,41.700378,-87.574218,1.028,False
χ:13S3W,13S3W,Longwood–107th chi,Lon107,Damen–107th chi,Dam107,41.699141,-87.671637,1.0,False
χ:13S4E,13S4E,Muskegon–107th chi,Mus107,Burnham–107th chi,Bur107,41.700624,-87.554726,1.005,False
χ:13S4W,13S4W,California–107th chi,Cal107,California–107th chi,Cal107,41.698893,-87.69117,1.026,False
χ:13S5E,13S5E,Avenue L–107th chi,L107,Avenue L–107th chi,L107,41.700869,-87.535447,1.007,False
χ:13S5W,13S5W,Central Park–107th chi,Cen107,Central Park–107th chi,Cen107,41.700901,-87.7109,1.012,True
χ:13S6E,13S6E,Indianapolis–107th chi,Ind107,χ:13S6E chi,χ:13S6E,41.701003,-87.525191,0.064,True
χ:14S1E,14S1E,Front–115th chi,Fro115,Martin Luther King–115th chi,Mar115,41.685267,-87.613245,0.988,False
χ:14S1W,14S1W,Princeton–115th chi,Pri115,River–115th chi,Riv115,41.68505,-87.632443,0.988,False
χ:14S2E,14S2E,Doty–115th chi,Dot115,Woodlawn–115th chi,Woo115,41.685488,-87.593638,1.036,False
χ:14S2W,14S2W,Racine–115th chi,Rac115,Racine–115th chi,Rac115,41.684832,-87.651829,1.002,False
χ:14S3E,14S3E,Jeffery–115th chi,Jef115,Jeffery–115th chi,Jef115,41.685713,-87.573719,1.026,False
χ:14S3W,14S3W,Longwood–115th chi,Lon115,Damen–115th chi,Dam115,41.684624,-87.671235,0.984,True
χ:14S4E,14S4E,Escanaba–115th chi,Esc115,Burnham–115th chi,Bur115,41.685931,-87.55436,0.984,False
χ:14S4W,14S4W,Maplewood–115th chi,Map115,California–115th chi,Cal115,41.685001,-87.688268,0.575,True
χ:14S5E,14S5E,Avenue L–115th chi,L115,Avenue L–115th chi,L115,41.686145,-87.535435,0.987,False
χ:14S5W,14S5W,Central Park–115th chi,Cen115,Central Park–115th chi,Cen115,41.687746,-87.710517,0.58,True
χ:14S6E,14S6E,Avenue L–112th chi,L112,χ:14S6E chi,χ:14S6E,41.683721,-87.525354,0.067,True
χ:14S6W,14S6W,Hamlin–115th chi,Ham115,Kostner–115th chi,Kos115,41.687406,-87.729932,0.498,True
χ:15S1E,15S1E,Front–122nd chi,Fro122,Martin Luther King–123rd chi,Mar123,41.670862,-87.612891,0.975,False
χ:15S1W,15S1W,Harvard–123rd chi,Har123,River–123rd chi,Riv123,41.6732,-87.632129,0.986,True
χ:15S2E,15S2E,Doty–122nd chi,Dot122,Woodlawn–123rd chi,Woo123,41.671133,-87.593245,1.016,False
χ:15S2W,15S2W,Racine–123rd chi,Rac123,Racine–123rd chi,Rac123,41.67375,-87.651504,0.497,True
χ:15S3E,15S3E,Jeffery–122nd chi,Jef122,Jeffery–123rd chi,Jef123,41.671405,-87.573231,0.993,False
χ:15S3W,15S3W,Marshfield–115th chi,Mar115,Damen–123rd chi,Dam123,41.676748,-87.66763,0.009,True
χ:15S4E,15S4E,Escanaba–122nd chi,Esc122,Burnham–123rd chi,Bur123,41.671664,-87.554004,0.919,False
χ:15S5E,15S5E,Avenue L–126th chi,L126,Avenue L–123rd chi,L123,41.671917,-87.535423,0.911,False
χ:15S6E,15S6E,Avenue L–133rd chi,L133,χ:15S6E chi,χ:15S6E,41.672024,-87.525488,0.062,True
χ:16S1E,16S1E,St Lawrence–130th chi,St130,Martin Luther King–130th chi,Mar130,41.656985,-87.610583,0.843,True
χ:16S1W,16S1W,Parnell–128th chi,Par128,River–130th chi,Riv130,41.660467,-87.637432,0.395,True
χ:16S2E,16S2E,Doty–130th chi,Dot130,Woodlawn–130th chi,Woo130,41.656629,-87.592848,1.054,False
χ:16S3E,16S3E,Jeffery–130th chi,Jef130,Jeffery–130th chi,Jef130,41.656943,-87.572739,1.044,False
χ:16S4E,16S4E,Brainard–130th chi,Bra130,Burnham–130th chi,Bur130,41.657241,-87.553645,0.956,False
χ:16S5E,16S5E,Avenue L–130th chi,L130,Avenue L–130th chi,L130,41.657526,-87.535411,0.961,False
χ:16S6E,16S6E,Avenue L–133rd chi,L133,χ:16S6E chi,χ:16S6E,41.657693,-87.525653,0.067,True
χ:17S1E,17S1E,Forest–137th chi,For137,χ:17S1E chi,χ:17S1E,41.646794,-87.609987,0.228,True
χ:17S2E,17S2E,Doty–137th chi,Dot137,χ:17S2E chi,χ:17S2E,41.646925,-87.592582,0.335,True
χ:17S3E,17S3E,Jeffery–136th chi,Jef136,χ:17S3E chi,χ:17S3E,41.647074,-87.572403,0.348,True
χ:17S4E,17S4E,Brainard–136th chi,Bra136,χ:17S4E chi,χ:17S4E,41.647193,-87.553395,0.333,True
χ:17S5E,17S5E,Avenue L–136th chi,L136,χ:17S5E chi,χ:17S5E,41.647295,-87.535403,0.353,True
χ:17S6E,17S6E,Avenue L–134th chi,L134,χ:17S6E chi,χ:17S6E,41.647403,-87.525771,0.026,True
χ:1N1E,1N1E,River–Illinois chi,RivIll,Martin Luther King–Kinzie chi,MarKin,41.88943,-87.618607,0.896,True
χ:1N1W,1N1W,Clark–Kinzie chi,ClaKin,River–Kinzie chi,RivKin,41.889224,-87.637847,1.011,False
χ:1N2E,1N2E,Woodlawn–Kinzie chi,WooKin,Woodlawn–Kinzie chi,WooKin,41.894776,-87.605496,0.141,True
χ:1N2W,1N2W,Racine–Kinzie chi,RacKin,Racine–Kinzie chi,RacKin,41.88896,-87.657399,1.009,False
χ:1N3W,1N3W,Damen–Kinzie chi,DamKin,Damen–Kinzie chi,DamKin,41.888698,-87.676891,1.006,False
χ:1N4W,1N4W,California–Kinzie chi,CalKin,California–Kinzie chi,CalKin,41.888435,-87.696418,1.013,False
χ:1N5W,1N5W,Central Park–Kinzie chi,CenKin,Central Park–Kinzie chi,CenKin,41.888171,-87.716017,1.014,False
χ:1N6W,1N6W,Kostner–Kinzie chi,KosKin,Kostner–Kinzie chi,KosKin,41.887908,-87.735604,1.012,False
χ:1N7W,1N7W,Laramie–Kinzie chi,LarKin,Laramie–Kinzie chi,LarKin,41.887646,-87.755056,1.0,False
χ:1N8W,1N8W,Austin–Fulton chi,AusFul,Austin–Kinzie chi,AusKin,41.887446,-87.769801,0.525,True
χ:1S1E,1S1E,Michigan–Harrison chi,MicHar,Martin Luther King–Congress chi,MarCon,41.872445,-87.621913,0.609,True
χ:1S1W,1S1W,Clark–Congress chi,ClaCon,River–Congress chi,RivCon,41.874608,-87.63746,1.016,False
χ:1S2W,1S2W,Racine–Congress chi,RacCon,Racine–Congress chi,RacCon,41.874349,-87.657001,1.014,False
χ:1S3W,1S3W,Damen–Congress chi,DamCon,Damen–Congress chi,DamCon,41.874091,-87.676486,1.009,False
χ:1S4W,1S4W,California–Congress chi,CalCon,California–Congress chi,CalCon,41.873832,-87.696013,1.017,False
χ:1S5W,1S5W,Central Park–Congress chi,CenCon,Central Park–Congress chi,CenCon,41.873572,-87.715616,1.015,False
χ:1S6W,1S6W,Kostner–Congress chi,KosCon,Kostner–Congress chi,KosCon,41.873312,-87.735189,1.012,True
χ:1S7W,1S7W,Laramie–Congress chi,LarCon,Laramie–Congress chi,LarCon,41.873058,-87.754721,1.01,True
χ:1S8W,1S8W,Austin–Arthington chi,AusArt,Austin–Congress chi,AusCon,41.872859,-87.769436,0.512,True
χ:2N10W,2N10W,Oak Park–Armitage chi,OakArm,Oriole–Division chi,OriDivi,41.908858,-87.805462,0.0,True
χ:2N1E,2N1E,La Salle–Division chi,LaDivi,Martin Luther King–Division chi,MarDivi,41.903944,-87.625971,0.332,True
χ:2N1W,2N1W,Clark–Division chi,ClaDivi,River–Division chi,RivDivi,41.903775,-87.638232,1.011,False
χ:2N2W,2N2W,Racine–Division chi,RacDivi,Racine–Division chi,RacDivi,41.903517,-87.657797,1.007,False
χ:2N3W,2N3W,Damen–Division chi,DamDivi,Damen–Division chi,DamDivi,41.90326,-87.677295,1.005,False
χ:2N4W,2N4W,California–Division chi,CalDivi,California–Division chi,CalDivi,41.903002,-87.696821,1.01,False
χ:2N5W,2N5W,Central Park–Division chi,CenDivi,Central Park–Division chi,CenDivi,41.902743,-87.716417,1.013,False
χ:2N6W,2N6W,Kostner–Division chi,KosDivi,Kostner–Division chi,KosDivi,41.902485,-87.736019,1.012,False
χ:2N7W,2N7W,Laramie–Division chi,LarDivi,Laramie–Division chi,LarDivi,41.90223,-87.755391,0.99,False
χ:2N8W,2N8W,Austin–Division chi,AusDivi,Austin–Division chi,AusDivi,41.901741,-87.770159,0.538,True
χ:2N9W,2N9W,Oak Park–Armitage chi,OakArm,Oak Park–Division chi,OakDivi,41.909,-87.7949,0.001,True
χ:2S1E,2S1E,Prairie–16th chi,Pra16,Martin Luther King–16th chi,Mar16,41.860116,-87.617544,0.99,True
χ:2S1W,2S1W,Clark–16th chi,Cla16,River–16th chi,Riv16,41.860027,-87.637074,1.006,False
χ:2S2E,2S2E,Woodlawn–16th chi,Woo16,Woodlawn–16th chi,Woo16,41.861051,-87.6069,0.056,True
χ:2S2W,2S2W,Racine–16th chi,Rac16,Racine–16th chi,Rac16,41.859763,-87.656603,1.007,False
χ:2S3W,2S3W,Damen–16th chi,Dam16,Damen–16th chi,Dam16,41.8595,-87.676082,1.003,False
χ:2S4W,2S4W,California–16th chi,Cal16,California–16th chi,Cal16,41.859237,-87.695609,1.015,False
χ:2S5W,2S5W,Central Park–16th chi,Cen16,Central Park–16th chi,Cen16,41.858973,-87.715216,1.014,False
χ:2S6W,2S6W,Kostner–16th chi,Kos16,Kostner–16th chi,Kos16,41.858453,-87.732372,0.764,True
χ:2S7W,2S7W,Laramie–Fillmore chi,LarFil,Laramie–16th chi,Lar16,41.865727,-87.756811,0.001,True
χ:2S8W,2S8W,Austin–Fillmore chi,AusFil,Austin–16th chi,Aus16,41.865559,-87.769026,0.001,True
χ:3N10W,3N10W,Oak Park–Armitage chi,OakArm,Oriole–Armitage chi,OriArm,41.916123,-87.805681,0.032,True
χ:3N1E,3N1E,La Salle–Schiller chi,LaSch,Martin Luther King–Armitage chi,MarArm,41.91638,-87.627592,0.104,True
χ:3N1W,3N1W,Clark–Armitage chi,ClaArm,River–Armitage chi,RivArm,41.916354,-87.638565,1.003,True
χ:3N2W,3N2W,Racine–Armitage chi,RacArm,Racine–Armitage chi,RacArm,41.918068,-87.658194,1.008,False
χ:3N3W,3N3W,Damen–Armitage chi,DamArm,Damen–Armitage chi,DamArm,41.917815,-87.677698,1.007,False
χ:3N4W,3N4W,California–Armitage chi,CalArm,California–Armitage chi,CalArm,41.917562,-87.697224,1.01,False
χ:3N5W,3N5W,Central Park–Armitage chi,CenArm,Central Park–Armitage chi,CenArm,41.917308,-87.716816,1.014,False
χ:3N6W,3N6W,Kostner–Armitage chi,KosArm,Kostner–Armitage chi,KosArm,41.917054,-87.736434,1.013,False
χ:3N7W,3N7W,Laramie–Armitage chi,LarArm,Laramie–Armitage chi,LarArm,41.916804,-87.755725,0.98,False
χ:3N8W,3N8W,Austin–Armitage chi,AusArm,Austin–Armitage chi,AusArm,41.916549,-87.775288,1.041,True
χ:3N9W,3N9W,Oak Park–Armitage chi,OakArm,Oak Park–Armitage chi,OakArm,41.91629,-87.795365,1.034,True
χ:3S1E,3S1E,Prairie–26th chi,Pra26,Martin Luther King–26th chi,Mar26,41.845479,-87.617832,0.947,True
χ:3S1W,3S1W,Lake Shore–26th chi,Lak26,River–26th chi,Riv26,41.845425,-87.636688,1.014,False
χ:3S2E,3S2E,Cottage Grove–33rd chi,Cot33,Woodlawn–26th chi,Woo26,41.839502,-87.607165,0.004,True
χ:3S2W,3S2W,Racine–26th chi,Rac26,Racine–26th chi,Rac26,41.845169,-87.656204,1.012,False
χ:3S3W,3S3W,Damen–26th chi,Dam26,Damen–26th chi,Dam26,41.844914,-87.675678,1.004,False
χ:3S4W,3S4W,California–26th chi,Cal26,California–26th chi,Cal26,41.844658,-87.695206,1.013,False
χ:3S5W,3S5W,Central Park–26th chi,Cen26,Central Park–26th chi,Cen26,41.844401,-87.714816,1.008,False
χ:3S6W,3S6W,Kostner–26th chi,Kos26,Kostner–26th chi,Kos26,41.842088,-87.731884,0.753,True
